number,short_description,state,active,assignment_group,product,schedule_end_date,schedule_start_date,end_date,start_date,actual_duration,actual_effort,percent_complete,opened,closed,completed_points,original_end_date,original_start_date,planned_duration,remaining_effort
rtcSprint00000012,"Sprint 12 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2018-03-22 17:00:00,2018-03-04 08:00:00,2018-03-22 17:00:00,2018-03-04 08:00:00,1587600,0,100,2018-03-04 08:00:00,2018-03-22 17:00:00,0,2018-03-22 17:00:00,2018-03-04 08:00:00,1587600,0
rtcSprint00000011,"Sprint 11 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2018-03-01 17:00:00,2018-02-11 08:00:00,2018-03-01 17:00:00,2018-02-11 08:00:00,1587600,0,100,2018-02-11 08:00:00,2018-03-01 17:00:00,0,2018-03-01 17:00:00,2018-02-11 08:00:00,1587600,0
rtcSprint00000010,"Sprint 10 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2018-02-08 17:00:00,2018-01-21 08:00:00,2018-02-08 17:00:00,2018-01-21 08:00:00,1587600,0,100,2018-01-21 08:00:00,2018-02-08 17:00:00,0,2018-02-08 17:00:00,2018-01-21 08:00:00,1587600,0
rtcSprint00000009,"Sprint 9 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2018-01-18 17:00:00,2018-01-01 08:00:00,2018-01-18 17:00:00,2018-01-01 08:00:00,1501200,0,100,2018-01-01 08:00:00,2018-01-18 17:00:00,0,2018-01-18 17:00:00,2018-01-01 08:00:00,1501200,0
rtcSprint00000008,"Sprint 8 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-12-22 17:00:00,2017-12-03 08:00:00,2017-12-22 17:00:00,2017-12-03 08:00:00,1674000,0,100,2017-12-03 08:00:00,2017-12-22 17:00:00,0,2017-12-22 17:00:00,2017-12-03 08:00:00,1674000,0
rtcSprint00000007,"Sprint 7 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-12-01 17:00:00,2017-11-12 08:00:00,2017-12-01 17:00:00,2017-11-12 08:00:00,1674000,0,100,2017-11-12 08:00:00,2017-12-01 17:00:00,0,2017-12-01 17:00:00,2017-11-12 08:00:00,1674000,0
rtcSprint00000006,"Sprint 6 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-11-10 17:00:00,2017-10-22 08:00:00,2017-11-10 17:00:00,2017-10-22 08:00:00,1674000,0,100,2017-10-22 08:00:00,2017-11-10 17:00:00,0,2017-11-10 17:00:00,2017-10-22 08:00:00,1674000,0
rtcSprint00000005,"Sprint 5 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-10-20 17:00:00,2017-10-01 08:00:00,2017-10-20 17:00:00,2017-10-01 08:00:00,1674000,0,100,2017-10-01 08:00:00,2017-10-20 17:00:00,0,2017-10-20 17:00:00,2017-10-01 08:00:00,1674000,0
rtcSprint00000004,"Sprint 4 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-09-29 17:00:00,2017-09-10 08:00:00,2017-09-29 17:00:00,2017-09-10 08:00:00,1674000,0,100,2017-09-10 08:00:00,2017-09-29 17:00:00,0,2017-09-29 17:00:00,2017-09-10 08:00:00,1674000,0
rtcSprint00000003,"Sprint 3 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-09-08 17:00:00,2017-08-20 08:00:00,2017-09-08 17:00:00,2017-08-20 08:00:00,1674000,0,100,2017-08-20 08:00:00,2017-09-08 17:00:00,0,2017-09-08 17:00:00,2017-08-20 08:00:00,1674000,0
rtcSprint00000002,"Sprint 2 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-08-18 17:00:00,2017-07-30 08:00:00,2017-08-18 17:00:00,2017-07-30 08:00:00,1674000,0,100,2017-07-30 08:00:00,2017-08-18 17:00:00,0,2017-08-18 17:00:00,2017-07-30 08:00:00,1674000,0
rtcSprint00000001,"Sprint 1 Backlog",Complete,false,VIP Team,VA VIP Dashboard,2017-07-28 17:00:00,2017-07-09 08:00:00,2017-07-28 17:00:00,2017-07-09 08:00:00,1674000,0,100,2017-07-09 08:00:00,2017-07-28 17:00:00,0,2017-07-28 17:00:00,2017-07-09 08:00:00,1674000,0
